t_loc_time,t_data_time,x,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,e_loc_time,e_data_time,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
2023-02-02 16:16:23.926,2023-02-02 16:16:23.958,41.395770516460566,2.154126203001124,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:19.997,2023-01-19 12:43:20.037,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:24.932,2023-02-02 16:16:24.961,41.39576873057928,2.15412849067274,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:21.000,2023-01-19 12:43:21.044,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:26.973,2023-02-02 16:16:27.005,41.39576292697683,2.154135924949934,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:23.033,2023-01-19 12:43:23.070,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:28.949,2023-02-02 16:16:28.981,41.39576344880554,2.1541352564997243,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:24.993,2023-01-19 12:43:25.034,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:29.953,2023-02-02 16:16:29.982,41.395765083594355,2.154133162373989,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:25.997,2023-01-19 12:43:26.037,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:31.966,2023-02-02 16:16:31.995,41.39576811016639,2.1541292854069423,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:27.993,2023-01-19 12:43:28.028,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:32.974,2023-02-02 16:16:33.007,41.395769388607235,2.1541276477545193,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:28.995,2023-01-19 12:43:29.024,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:33.986,2023-02-02 16:16:34.016,41.395770491362235,2.154126235151492,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:30.007,2023-01-19 12:43:30.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:35.992,2023-02-02 16:16:36.021,41.395771548632325,2.1541248808135647,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:31.995,2023-01-19 12:43:32.044,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:36.998,2023-02-02 16:16:37.033,41.395771947480895,2.1541243698979966,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:33.001,2023-01-19 12:43:33.041,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:39.018,2023-02-02 16:16:39.047,41.39577178085342,2.1541245833438465,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:35.003,2023-01-19 12:43:35.043,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:41.023,2023-02-02 16:16:41.055,41.39577094771904,2.1541256505692385,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:37.001,2023-01-19 12:43:37.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:42.042,2023-02-02 16:16:42.070,41.39577054378276,2.1541261680020485,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:38.010,2023-01-19 12:43:38.046,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:44.068,2023-02-02 16:16:44.096,41.39577012485517,2.154126704638362,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:40.028,2023-01-19 12:43:40.073,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:46.047,2023-02-02 16:16:46.079,41.39576996127438,2.1541269141814685,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:42.005,2023-01-19 12:43:42.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:48.054,2023-02-02 16:16:48.091,41.39576193780334,2.1541371920577284,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:43.997,2023-01-19 12:43:44.039,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:49.079,2023-02-02 16:16:49.111,41.395754404819144,2.154146841631966,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:45.017,2023-01-19 12:43:45.062,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:51.073,2023-02-02 16:16:51.105,41.39572053084253,2.1541902333932357,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:47.000,2023-01-19 12:43:47.047,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:53.095,2023-02-02 16:16:53.125,41.3956654822747,2.154260749304046,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:49.006,2023-01-19 12:43:49.057,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:56.107,2023-02-02 16:16:56.135,41.395556054520135,2.1544011653116217,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:52.002,2023-01-19 12:43:52.045,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:16:58.131,2023-02-02 16:16:58.158,41.3954868733506,2.154490093237032,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:54.017,2023-01-19 12:43:54.059,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
2023-02-02 16:17:00.152,2023-02-02 16:17:00.192,41.395411376809946,2.1545779480787544,10,2,2,0,8191,1,0,0,1,197,1,1,2023-01-19 12:43:56.038,2023-01-19 12:43:56.103,10.0,2.0,2.0,0.0,8191.0,1.0,0.0,0.0,2.0,197.0,1.0,1.0
