dst_timestamp,data,timestamp
2023-02-01 06:23:38.514,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:39.533,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:41.528,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:43.538,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:44.551,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:45.553,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:47.571,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:48.610,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:50.595,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:52.623,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:54.633,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:55.644,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:56.660,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:57.671,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:23:59.685,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:00.703,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:01.715,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:03.721,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:04.726,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:06.761,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:08.751,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:09.752,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:10.769,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:12.772,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:13.798,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:14.802,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:16.806,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:17.841,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:18.858,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:20.842,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:21.837,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
2023-02-01 06:24:22.854,"[20, 2, 2, 0, 8191, 2, 0, 0, 2, 197, 1, 1]",
